global_order,step_no,step_title,sub_step_no,sub_step_title,position,sl_no,id,title,difficulty,difficulty_code,tags,leetcode,coding_ninjas,gfg,youtube,article,tuf_plus,tuf_plus_editorial,leetcode_original,coding_ninjas_original,gfg_original,youtube_original,article_original,tuf_plus_original,tuf_plus_editorial_original,flags_and_link_issues
11,1,Learn the basics,3,Learn STL/Java-Collections or similar thing in your language,1,1,cstl,C++ STL,Medium,1,C++ | Introduction to DSA,,,https://www.youtube.com/watch?v=RRVYpIET_RU,https://www.youtube.com/watch?v=RRVYpIET_RU,https://takeuforward.org/c/c-stl-tutorial-most-frequent-used-stl-containers/,,https://takeuforward.org/plus/dsa/problems/stl,,,,,,,,gfg:domain_mismatch:youtube
12,1,Learn the basics,3,Learn STL/Java-Collections or similar thing in your language,2,2,jvcllctins,Java Collections,Easy,0,Java | Introduction to DSA,,,,,,,https://takeuforward.org/plus/dsa/problems/java-collections,,,,,,,,
13,1,Learn the basics,4,Know Basic Maths,1,1,cntdigits,Count Digits,Easy,0,Maths | Data Structures,,https://www.codingninjas.com/codestudio/problems/count-digits_8416387,https://practice.geeksforgeeks.org/problems/count-digits5716/1,https://www.youtube.com/watch?v=1xNbjMdbjug,https://takeuforward.org/data-structure/count-digits-in-a-number/,https://takeuforward.org/plus/dsa/problems/count-all-digits-of-a-number,https://takeuforward.org/plus/dsa/problems/count-all-digits-of-a-number?tab=editorial,,https://www.codingninjas.com/codestudio/problems/count-digits_8416387?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/1xNbjMdbjug,,,,
14,1,Learn the basics,4,Know Basic Maths,2,2,rvrsnmbr,Reverse a Number,Easy,0,Maths | Data Structures,https://leetcode.com/problems/reverse-integer/,https://www.codingninjas.com/studio/problems/reverse-bits_2181102,https://practice.geeksforgeeks.org/problems/reverse-bits3556/1,https://www.youtube.com/watch?v=1xNbjMdbjug&t=930,https://takeuforward.org/maths/reverse-digits-of-a-number,https://takeuforward.org/plus/dsa/problems/reverse-a-number,https://takeuforward.org/plus/dsa/problems/reverse-a-number?tab=editorial,,https://www.codingninjas.com/studio/problems/reverse-bits_2181102?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/1xNbjMdbjug?t=930,,,,
15,1,Learn the basics,4,Know Basic Maths,3,3,chckplindrm,Check Palindrome,Easy,0,Maths | Data Structures,https://leetcode.com/problems/palindrome-number/,https://www.codingninjas.com/studio/problems/palindrome-number_624662,https://practice.geeksforgeeks.org/problems/palindrome0746/1,https://www.youtube.com/watch?v=1xNbjMdbjug&t=1230,https://takeuforward.org/data-structure/check-if-a-number-is-palindrome-or-not/,https://takeuforward.org/plus/dsa/problems/palindrome-number,https://takeuforward.org/plus/dsa/problems/palindrome-number?tab=editorial,,https://www.codingninjas.com/studio/problems/palindrome-number_624662?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/1xNbjMdbjug?t=1230,,,,
16,1,Learn the basics,4,Know Basic Maths,4,4,gcdrhcf,GCD Or HCF,Easy,0,Maths | Data Structures,,https://www.codingninjas.com/codestudio/problems/hcf-and-lcm_840448,https://practice.geeksforgeeks.org/problems/lcm-and-gcd4516/1,https://www.youtube.com/watch?v=1xNbjMdbjug&t=2684,https://takeuforward.org/data-structure/find-gcd-of-two-numbers/,https://takeuforward.org/plus/dsa/problems/gcd-of-two-numbers,https://takeuforward.org/plus/dsa/problems/gcd-of-two-numbers?tab=editorial,,https://www.codingninjas.com/codestudio/problems/hcf-and-lcm_840448?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/1xNbjMdbjug?t=2684,,,,
17,1,Learn the basics,4,Know Basic Maths,5,5,rmstrngnmbrs,Armstrong Numbers,Easy,0,Maths | Data Structures,https://leetcode.com/problems/armstrong-number/,https://www.codingninjas.com/studio/problems/check-armstrong_589,https://practice.geeksforgeeks.org/problems/armstrong-numbers2727/1,https://www.youtube.com/watch?v=1xNbjMdbjug&t=1418,https://takeuforward.org/maths/check-if-a-number-is-armstrong-number-or-not/,https://takeuforward.org/plus/dsa/problems/check-if-the-number-if-armstrong,https://takeuforward.org/plus/dsa/problems/check-if-the-number-if-armstrong?tab=editorial,,https://www.codingninjas.com/studio/problems/check-armstrong_589?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/1xNbjMdbjug?t=1418,,,,
18,1,Learn the basics,4,Know Basic Maths,6,6,printlldivisrs,Print all Divisors,Easy,0,Maths | Data Structures,,https://www.codingninjas.com/studio/problems/sum-of-all-divisors_8360720,https://practice.geeksforgeeks.org/problems/sum-of-all-divisors-from-1-to-n4738/1,https://www.youtube.com/watch?v=1xNbjMdbjug&t=1580,https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/,https://takeuforward.org/plus/dsa/problems/divisors-of-a-number,https://takeuforward.org/plus/dsa/problems/divisors-of-a-number?tab=editorial,,https://www.codingninjas.com/studio/problems/sum-of-all-divisors_8360720?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/1xNbjMdbjug?t=1580,,,,
19,1,Learn the basics,4,Know Basic Maths,7,7,chckfrprim,Check for Prime,Easy,0,Maths | Data Structures,,https://www.codingninjas.com/studio/problems/check-prime_624934,https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1,https://www.youtube.com/watch?v=1xNbjMdbjug&t=2381,https://takeuforward.org/data-structure/check-if-a-number-is-prime-or-not/,https://takeuforward.org/plus/dsa/problems/check-for-prime-number,https://takeuforward.org/plus/dsa/problems/check-for-prime-number?tab=editorial,,https://www.codingninjas.com/studio/problems/check-prime_624934?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/1xNbjMdbjug?t=2381,,,,
20,1,Learn the basics,5,Learn Basic Recursion,1,1,ndrstndrcrsinbyprintsmthingntims,Understand recursion by print something N times,Easy,0,Recursion | Data Structures,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290,https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1,https://www.youtube.com/watch?v=yVdKa8dnKiE,https://takeuforward.org/recursion/introduction-to-recursion-understand-recursion-by-printing-something-n-times/,,https://takeuforward.org/plus/dsa/problems/recursion-theory,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3K2epHv,https://www.youtube.com/watch?v=yVdKa8dnKiE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9,,,,gfg:bitly_expanded_destination_unverified
21,1,Learn the basics,5,Learn Basic Recursion,2,2,printnmntimssingrcrsin,Print name N times using recursion,Easy,0,Recursion | Data Structures,,https://www.codingninjas.com/studio/problems/-print-n-times_8380707,https://www.geeksforgeeks.org/problems/print-gfg-n-times/1,https://www.youtube.com/watch?v=un6PLygfXrA,https://takeuforward.org/recursion/print-name-n-times-using-recursion/,,https://takeuforward.org/plus/dsa/problems/recursion-theory,,https://www.codingninjas.com/studio/problems/-print-n-times_8380707?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3y2BiWz,https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2,,,,gfg:bitly_expanded_destination_unverified
22,1,Learn the basics,5,Learn Basic Recursion,3,3,print1tnsingrcrsin,Print 1 to N using recursion,Easy,0,Recursion | Data Structures,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290,https://practice.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1,https://www.youtube.com/watch?v=un6PLygfXrA,https://takeuforward.org/recursion/print-1-to-n-using-recursion/,,https://takeuforward.org/plus/dsa/problems/recursion-theory,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2,,,,
23,1,Learn the basics,5,Learn Basic Recursion,4,4,printnt1singrcrsin,Print N to 1 using recursion,Easy,0,Recursion | Data Structures,,https://www.codingninjas.com/studio/problems/n-to-1-without-loop_8357243,https://www.geeksforgeeks.org/problems/print-n-to-1-without-loop/1,https://www.youtube.com/watch?v=un6PLygfXrA,https://takeuforward.org/recursion/print-n-to-1-using-recursion/,,https://takeuforward.org/plus/dsa/problems/recursion-theory,,https://www.codingninjas.com/studio/problems/n-to-1-without-loop_8357243?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3LOkcBn,https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2,,,,gfg:bitly_expanded_destination_unverified
24,1,Learn the basics,5,Learn Basic Recursion,5,5,smffirstnnmbrs,Sum of first N numbers,Easy,0,Maths | Data Structures,,https://www.codingninjas.com/studio/problems/sum-of-first-n-numbers_8876068,https://practice.geeksforgeeks.org/problems/sum-of-first-n-terms5843/1,https://www.youtube.com/watch?v=69ZCDFy-OUo,https://takeuforward.org/data-structure/sum-of-first-n-natural-numbers/,https://takeuforward.org/plus/dsa/problems/sum-of-first-n-numbers,https://takeuforward.org/plus/dsa/problems/sum-of-first-n-numbers?tab=editorial,,https://www.codingninjas.com/studio/problems/sum-of-first-n-numbers_8876068?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3,,,,
25,1,Learn the basics,5,Learn Basic Recursion,6,6,fctrilfnnmbrs,Factorial of N numbers,Easy,0,Maths | Data Structures,,https://www.codingninjas.com/studio/problems/factorial-numbers-not-greater-than-n_8365435,https://practice.geeksforgeeks.org/problems/find-all-factorial-numbers-less-than-or-equal-to-n3548/0,https://www.youtube.com/watch?v=69ZCDFy-OUo,https://takeuforward.org/data-structure/factorial-of-a-number-iterative-and-recursive/,https://takeuforward.org/plus/dsa/problems/factorial-of-a-given-number,https://takeuforward.org/plus/dsa/problems/factorial-of-a-given-number?tab=editorial,,https://www.codingninjas.com/studio/problems/factorial-numbers-not-greater-than-n_8365435?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://practice.geeksforgeeks.org/problems/find-all-factorial-numbers-less-than-or-equal-to-n3548/0?problemType=functional&difficulty%5B%5D=-1&page=1&query=problemTypefunctionaldifficulty%5B%5D-1page1,https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3,,,,
26,1,Learn the basics,5,Learn Basic Recursion,7,7,rvrsnrry,Reverse an array,Easy,0,Arrays | Data Structures,,https://www.codingninjas.com/studio/problems/reverse-an-array_8365444,https://practice.geeksforgeeks.org/problems/reverse-an-array/0,https://www.youtube.com/watch?v=twuC1F6gLI8,https://takeuforward.org/data-structure/reverse-a-given-array/,https://takeuforward.org/plus/dsa/problems/reverse-an-array,https://takeuforward.org/plus/dsa/problems/reverse-an-array?tab=editorial,,https://www.codingninjas.com/studio/problems/reverse-an-array_8365444?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4,,,,
27,1,Learn the basics,5,Learn Basic Recursion,8,8,chckifstringisplindrmrnt,Check if a string is palindrome or not,Medium,1,String | Data Structures,https://leetcode.com/problems/valid-palindrome/,https://www.codingninjas.com/studio/problems/check-palindrome-recursive_624386,https://practice.geeksforgeeks.org/problems/palindrome-string0817/1,https://www.youtube.com/watch?v=twuC1F6gLI8,https://takeuforward.org/data-structure/check-if-the-given-string-is-palindrome-or-not/,https://takeuforward.org/plus/dsa/problems/check-if-string-is-palindrome-or-not-,https://takeuforward.org/plus/dsa/problems/check-if-string-is-palindrome-or-not-?tab=editorial,,https://www.codingninjas.com/studio/problems/check-palindrome-recursive_624386?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4,,,,
28,1,Learn the basics,5,Learn Basic Recursion,9,9,fibnccinmbr,Fibonacci Number,Easy,0,Maths | Data Structures,https://leetcode.com/problems/fibonacci-number/,https://www.codingninjas.com/studio/problems/print-fibonacci-series_7421617,https://www.geeksforgeeks.org/problems/print-first-n-fibonacci-numbers1002/1,https://www.youtube.com/watch?v=kvRjNm4rVBE,https://takeuforward.org/arrays/print-fibonacci-series-up-to-nth-term/,https://takeuforward.org/plus/dsa/problems/fibonacci-number,https://takeuforward.org/plus/dsa/problems/fibonacci-number?tab=editorial,,https://www.codingninjas.com/studio/problems/print-fibonacci-series_7421617?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3QUkkk2,https://www.youtube.com/watch?v=kvRjNm4rVBE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=5,,,,gfg:bitly_expanded_destination_unverified
29,1,Learn the basics,6,Learn Basic Hashing,1,1,hshingthry,Hashing Theory,Medium,1,Hashing | Data Structures,,,,https://www.youtube.com/watch?v=KEs5UyBJ39g,https://takeuforward.org/hashing/hashing-maps-time-complexity-collisions-division-rule-of-hashing-strivers-a2z-dsa-course/,,https://takeuforward.org/plus/dsa/problems/basic-hashing,,,,,,,,
30,1,Learn the basics,6,Learn Basic Hashing,2,2,cntingfrqncisfrrylmnts,Counting frequencies of array elements,Easy,0,Arrays | Hashing | Sorting | Data Structures,,https://www.codingninjas.com/studio/problems/count-frequency-in-a-range_8365446,https://practice.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/0,,https://takeuforward.org/data-structure/count-frequency-of-each-element-in-the-array/,,https://takeuforward.org/plus/dsa/problems/basic-hashing,,https://www.codingninjas.com/studio/problems/count-frequency-in-a-range_8365446?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,,,,,
31,1,Learn the basics,6,Learn Basic Hashing,3,3,findthhighstlwstfrqncylmnt,Find the highest/lowest frequency element,Easy,0,Arrays | Hashing | Data Structures,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,https://www.codingninjas.com/studio/problems/k-most-occurrent-numbers_625382,https://www.geeksforgeeks.org/problems/top-k-frequent-elements-in-array/1,,https://takeuforward.org/arrays/find-the-highest-lowest-frequency-element/,https://takeuforward.org/plus/dsa/problems/highest-occurring-element-in-an-array,https://takeuforward.org/plus/dsa/problems/highest-occurring-element-in-an-array?tab=editorial,,https://www.codingninjas.com/studio/problems/k-most-occurrent-numbers_625382?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3wcIHla,,,,,gfg:bitly_expanded_destination_unverified
32,2,Learn Important Sorting Techniques,1,Sorting-I,1,1,slctinsrt,Selection Sort,Easy,0,Sorting | Arrays | Data Structures,,https://www.codingninjas.com/studio/problems/selection-sort_624469,https://www.geeksforgeeks.org/problems/selection-sort/1,https://www.youtube.com/watch?v=HGk_ypEuS24&t=167,https://takeuforward.org/sorting/selection-sort-algorithm/,https://takeuforward.org/plus/dsa/problems/selection-sort,https://takeuforward.org/plus/dsa/problems/selection-sort?tab=editorial,,https://www.codingninjas.com/studio/problems/selection-sort_624469?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3ppA6YJ,https://youtu.be/HGk_ypEuS24?t=167,,,,gfg:bitly_expanded_destination_unverified
33,2,Learn Important Sorting Techniques,1,Sorting-I,2,2,bbblsrt,Bubble Sort,Easy,0,Sorting | Arrays | Data Structures,,https://www.codingninjas.com/studio/problems/bubble-sort_624380,https://www.geeksforgeeks.org/problems/bubble-sort/1,https://www.youtube.com/watch?v=HGk_ypEuS24&t=1061,https://takeuforward.org/data-structure/bubble-sort-algorithm/,https://takeuforward.org/plus/dsa/problems/bubble-sort,https://takeuforward.org/plus/dsa/problems/bubble-sort?tab=editorial,,https://www.codingninjas.com/studio/problems/bubble-sort_624380?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3w6yQx8,https://youtu.be/HGk_ypEuS24?t=1061,,,,gfg:bitly_expanded_destination_unverified
34,2,Learn Important Sorting Techniques,1,Sorting-I,3,3,insrtinsrt,Insertion Sort,Easy,0,Sorting | Data Structures,,https://www.codingninjas.com/studio/problems/insertion-sort_624381,https://www.geeksforgeeks.org/problems/insertion-sort/0,https://www.youtube.com/watch?v=HGk_ypEuS24&t=1900,https://takeuforward.org/data-structure/insertion-sort-algorithm/,https://takeuforward.org/plus/dsa/problems/insertion-sorting,https://takeuforward.org/plus/dsa/problems/insertion-sorting?tab=editorial,,https://www.codingninjas.com/studio/problems/insertion-sort_624381?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3JVcqot,https://youtu.be/HGk_ypEuS24?t=1900,,,,gfg:bitly_expanded_destination_unverified
35,2,Learn Important Sorting Techniques,2,Sorting-II,1,1,mrgsrt,Merge Sort,Medium,1,Arrays | Sorting | Data Structures,,https://www.codingninjas.com/studio/problems/merge-sort_5846,https://www.geeksforgeeks.org/problems/merge-sort/1,https://www.youtube.com/watch?v=ogjf7ORKfd8,https://takeuforward.org/data-structure/merge-sort-algorithm/,https://takeuforward.org/plus/dsa/problems/merge-sorting,https://takeuforward.org/plus/dsa/problems/merge-sorting?tab=editorial,,https://www.codingninjas.com/studio/problems/merge-sort_5846?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3A30Anw,https://youtu.be/ogjf7ORKfd8,,,,gfg:bitly_expanded_destination_unverified
36,2,Learn Important Sorting Techniques,2,Sorting-II,2,2,rcrsivbbblsrt,Recursive Bubble Sort,Easy,0,Sorting | Data Structures,,https://www.codingninjas.com/studio/problems/bubble-sort_624380,https://www.geeksforgeeks.org/problems/bubble-sort/1,,https://takeuforward.org/arrays/recursive-bubble-sort-algorithm/,,,,https://www.codingninjas.com/studio/problems/bubble-sort_624380?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3QV65vI,,,,,gfg:bitly_expanded_destination_unverified
37,2,Learn Important Sorting Techniques,2,Sorting-II,3,3,rcrsivinsrtinsrt,Recursive Insertion Sort,Easy,0,Recursion | Sorting | Data Structures,,https://www.codingninjas.com/studio/problems/insertion-sort_624381,https://www.geeksforgeeks.org/problems/insertion-sort/1,,https://takeuforward.org/arrays/recursive-insertion-sort-algorithm/,,,,https://www.codingninjas.com/studio/problems/insertion-sort_624381?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3PxAWx1,,,,,gfg:bitly_expanded_destination_unverified
38,2,Learn Important Sorting Techniques,2,Sorting-II,4,4,qicksrt,Quick Sort,Easy,0,Arrays | Sorting | Data Structures,,https://www.codingninjas.com/studio/problems/quick-sort_5844,https://www.geeksforgeeks.org/problems/quick-sort/1,https://www.youtube.com/watch?v=WIrA4YexLRQ,https://takeuforward.org/data-structure/quick-sort-algorithm/,https://takeuforward.org/plus/dsa/problems/quick-sorting,https://takeuforward.org/plus/dsa/problems/quick-sorting?tab=editorial,,https://www.codingninjas.com/studio/problems/quick-sort_5844?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3dsEbIK,https://youtu.be/WIrA4YexLRQ,,,,gfg:bitly_expanded_destination_unverified
39,3,Solve Problems on Arrays [Easy -> Medium -> Hard],1,Easy,1,1,lrgstlmntinnrry,Largest Element in an Array,Easy,0,Arrays | Data Structures,,https://www.codingninjas.com/codestudio/problems/largest-element-in-the-array-largest-element-in-the-array_5026279,https://www.geeksforgeeks.org/problems/largest-element-in-array4009/0,https://www.youtube.com/watch?v=37E9ckMDdTk&t=526,https://takeuforward.org/data-structure/find-the-largest-element-in-an-array/,https://takeuforward.org/plus/dsa/problems/largest-element,https://takeuforward.org/plus/dsa/problems/largest-element?tab=editorial,,https://www.codingninjas.com/codestudio/problems/largest-element-in-the-array-largest-element-in-the-array_5026279?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3Pld280,https://youtu.be/37E9ckMDdTk?t=526,,,,gfg:bitly_expanded_destination_unverified
